speaker,line,scene
Jesse,  Do you have any idea what they were arguing about?,1
Jesse,Do you do you speak English?,1
Céline,"Yeah. No, I'm sorry, my German is not very good.   Have you ever heard that as couples get older, they lose their ability to hear each other?",1
Jesse,No.,1
Céline,"Well, supposedly, men lose the ability to hear higher-pitched sounds, and women eventually lose hearing in the low end. I guess they sort of nullify each other, or something.",1
Jesse,"I guess. Nature's way of allowing couples to grow old together without killing each other.   What are you reading?   Oh, yeah.",1
Céline,How bout you?,1
Jesse,Umm.,1
Jesse,"Look, I was thinking about going to the lounge car sometime soon. Would you like to come with me?",1
Céline,  Yeah.,1
Jesse,Okay.,1
Jesse,So how do you speak such good English?,2
Céline,I went to school for a summer in Los Angeles.   This fine here?,2
Jesse,"Yeah, this is good.",2
Céline,Then I spent some time in London. How do you speak such good English?,2
Jesse,Me? I'm American.,2
Céline,You're American?,2
Jesse,Yeah.,2
Céline,Are you sure?,2
Jesse,  Yeah.,2
Céline,"  No, I'm joking. I knew you were American. And of course, you don't speak any other language, right?",2
Jesse,  You know,2
Céline,  UN billet.,2
Jesse,"Un. Whatever. Un, Un.   So, where are you headed?",2
Céline,"Well, back to Paris. My classes start next week.",2
Jesse,"Oh, you're still in school? Where do you go?",2
Céline,"Yeah, La Sorbonne, you know?",2
Jesse,"Well, sure.   Hey, you coming from Budapest?",2
Céline,"Yeah, I was visiting my grandmother.",2
Jesse,Oh. How's she?,2
Céline,  She's okay.,2
Jesse,She's alright?,2
Céline,"She's fine, yeah.   How about you? Where are you going?",2
Jesse,"Uh, I'm going to Vienna.",2
Céline,Vienna? What's there?,2
Jesse,"Uh, I have no idea. I'm flying out of there tomorrow.",2
Céline,Aha. You on holiday?,2
Jesse,"Uh, ye-   Uh, I don't really know what I'm on.",2
Céline,Okay.,2
Jesse,"I've just been. I'm just traveling around. I've been riding the trains the past two, three weeks.",2
Céline,"You were visiting friends, or just on your own?",2
Jesse,"Uh, yeah. You know I had a friend in Madrid, but, umm...",2
Céline,Madrid? That's nice.,2
Jesse,"Yeah, I got one of those Eurail passes, is what I did.",2
Céline,"That's great. So, has this trip, around Europe, been good for you?",2
Jesse,"Yeah, sure, yeah, it's been, umm...it sucked. You know...",2
Céline,  What?,2
Jesse,"No, uh, it's had its, umm. Well, I'll tell ya, you know, sitting, you know, for weeks on end, looking out the window has actually been kinda great.",2
Céline,What do you mean?,2
Jesse,"Well, you know, for instance, you have ideas that you ordinarily wouldn't have.",2
Céline,What kind of ideas?,2
Jesse,You want to hear one?,2
Céline,"Yeah, tell me.",2
Jesse,"Alright, uh, I had this idea, okay?",2
Céline,Um-hmm...,2
Jesse,"For a television show. Some friends of mine are these cable access producers, do you know what that is, cable access?   Umm, I dunno...Anybody can produce a show real cheap, and they have to put it on. Right? And I have this idea for this show that would last twenty-four hours a day for a year straight, right? What you do, is you get three hundred and sixty-five people from cities all over the world, to do these twenty-four hour documents of real time, right, capturing life as it‘s lived. Um, you know, it would start with uh, a guy waking up in the morning, and, uh, you know, taking the long shower, eating a little breakfast, making a little coffee, you know, and, uh, reading the paper.",2
Céline,"Wait, wait. All those mundane, boring things everybody has to do every day of their fucking life?",2
Jesse,"I was going to say the poetry of day to day life, but   you know, you say the way you say it, I'll say it the way I say it...",2
Céline,  I like that.,2
Jesse,"No listen, think about it like this...",2
Céline,Who's gonna want to watch this?,2
Jesse,"Well, alright, think about it like this. Why is it, that a dog, you know, sleeping in the sun, is so beautiful? You know, it is, it‘s beautiful, you know, but a guy, standing at a bank machine, trying to take some money out, looks like a complete moron?",2
Céline,"So, it‘s like a National Geographic program, but on people?",2
Jesse,Yeah!,2
Céline,Hmm.,2
Jesse,What do you think?,2
Céline,"Yeah, I can.   I can see it. Like twenty-four boring hours, sorry, and like a three minute sex scene, where he falls asleep right after, no?",2
Jesse,"Yeah, you know I mean, and...I mean, that would be a GREAT episode.",2
Céline,Yeah.,2
Jesse,"People would talk about that episode. I mean, you and your friends could do one in Paris, if you wanted to, I mean.",2
Céline,"Oh, sure.",2
Jesse,"I dunno, the key, the key  ...thing that kind of haunts me is the distribution, you know. I mean, getting these tapes from town to town, city to city, so that they could play continuously, ‘cause it would have to play all the time, or else it just wouldn't work.",2
Céline,Thank you.,2
