speaker,line,scene
Jesse,"Hmmm...well, I mean, isn’t everything autobiographical? I mean, we all see the world through our own tiny keyhole, right? I mean, I always think of Thomas Wolfe, you know, have you ever seen that little one page note to reader in the front of ""Look Homeward, Angel,"" right, you know what I'm talking about? Anyway, he says that we are the sum of all the moments of our lives, and that, uh, anybody who sits down to write is gonna use the clay of their own life, that you can't avoid that. So when I look at my own life, you know, I have to admit, right...that I've... I've never been around a bunch of, a bunch of guns, or violence. You know, not really. No political intrigue or, uh, helicopter crash, right?",1
Jesse,"But my life, from my own point of view, has been full of drama, right? And, uh, so I thought that if I could write a book that...that could capture what it's like to really meet somebody. I mean one of the most exciting things that's ever happened to me is to really meet somebody, make that connection, and if I could...make that valuable, you know, to capture that, that would be the attempt or...Did I answer your question?",1
Jesse,"  See, to me, that...that's not important, you know?",1
Jesse,"  Alright, since I'm in France and this is the last stop on my book tour, ""yes"".",1
Jesse,"Like they promised, uh... I think how you answer that, you know, is, uh...You know, it's... It's a good test. Right? If you're a romantic or a cynic. I mean, uh, you think  ...you think they get back together,   you don't, for sure, and   you hope they do, but, you know, you’re not sure so that’s why you're asking the question.",1
Jesse,"  Did I real...  Look, see, in the words of my grandfather, OK...to answer that, would take the piss out of the whole thing.",1
Jesse,"Ah...I don't know, man, I don't know...I've been...I've been thinking about this...Well, I always kind of wanted to write a book that all took place within the space of a pop song, you know, like 3 or 4 minutes long, the whole thing.",1
Jesse,"The story, the idea is that...there's this guy. Right? And...he's totally depressed. I mean, his great dream was to be a lover, an adventurer, you know, riding motorcycles through South America, and instead he's sitting at a marble table, eating lobster, and he's got a good job and a beautiful wife, right? But you know, everything that he needs. But that doesn't matter, 'cause what he wants is to fight for meaning.",1
Jesse,"You know, happiness is in the doing, right, not in the... getting what you want. So, he's sitting there, and just at that second, his little five year old daughter hops up on the table. And he knows that she should get down 'cause she could get hurt, but she's dancing to this pop song, in a summer dress. And he looks down, and all of a sudden, uh, he is sixteen. And...his high school sweetheart is dropping him off, at home. And they've just lost their virginity, and she loves him, and the same song is playing on the car radio, and she climbs up and starts dancing on the roof of the car. And now, now he's worried about her! And she’s beautiful, with a...a facial expression just like his daughter‘s. In fact, you know, maybe that's why he even likes her. You see, he knows he's not remembering this dance, he's there. He's there in both moments simultaneously. And just like for an instance  , all his life is just folding in on itself and it's obvious to him that time is a lie...  uh...that's it's all happening all the time and inside every moment is another moment, all...You know, happening simultaneously.",1
Jesse,"And, anyway, that’s that's kind of the idea...anyway.",1
Jesse,Thank you all.   How much longer before I have to go to the airport?,1
Jesse,OK.,1
Jesse,Hi.,1
Céline,Hello.,1
Jesse,How are you?,1
Céline,"Good, and you?",1
Jesse,"I'm...good, yeah, I'm great, I'm...uh...Do you want to...maybe get a cup of coffee?",1
Céline,Didn't you just say you have a plane to catch?,1
Jesse,"Uh yeah...  But, I mean, I have a little time.",1
Céline,OK.,1
Jesse,"Yeah? Well, let me um...",1
Céline,I'll meet you outside.   OK.,1
Jesse,"Excuse me, I'm just gonna go out and get a cup of coffee, and be back at 7:15.",1
Jesse,"Um yeah, I sure did.",1
Jesse,"Alright, thanks for everything.   Merci beaucoup, mademoiselle.",1
Jesse,I can't believe you're here!,2
Céline,"Well, I live here in Paris. Are you sure you don't have to stay, you're not supposed to talk some more?",2
Jesse,"No, no, no, they‘re sick of me, I spent the night here last night.",2
Céline,"Oh, you did?",2
Jesse,"Yeah, yeah, they've got a loft upstairs.",2
Céline,"Oh, wow.",2
Jesse,"Anyway, how are you?   This is so weird.",2
Céline,"I'm fine, it's... It's good to see you.",2
Jesse,It's good to see you.,2
Céline,So you want to go to a cafe?,2
Jesse,"Uh, yeah...",2
Céline,"OK, there's one a little further, that I like.",2
Jesse,"I...I...I thought I was gonna totally lose it in there. When I first saw you...I mean, how did you even know I was going to be here?",2
Céline,"Well, it's my favorite bookstore in Paris. I, um...You can sit down for hours and read. I love it. There's fleas, but, you know...",2
Jesse,"I know, I know, I think a cat slept on my head last night.",2
Céline,"So, I saw your picture on the calendar about a month ago.",2
Jesse,Yeah?,2
Céline,"And that you were going to be here. It's funny because I read an article on your book, and, uh, it sounded vaguely familiar?",2
Jesse,"Vaguely, yeah.",2
Céline,"Yes. But I didn't put it all together until I saw your photo, so...",2
Jesse,Did you have a chance to read it?,2
Céline,"Yes! I um...I was really, really surprised as you can imagine, I mean...I had to read it twice, actually.",2
Jesse,Yeah?,2
Céline,Yeah.,2
Jesse,"Comme ci, comme ca?",2
Céline,"No, I liked it! It's, uh, very romantic. I usually don't like that... but it's, uh, really well written. It's really well written, no, I really...Congratulations!",2
Céline,"Wait!   Before we go anywhere, I have a...I have to ask you...",2
Jesse,"Sure, what?",2
Céline,"Did you show up in Vienna, that December?",2
Jesse,"  Uh, did you?",2
Céline,"No, I couldn't, but...Did you? I need to know, it's important to me.",2
Jesse,"  Why, if you didn't?",2
Céline,"  Well, did you?",2
Jesse,No.,2
Céline,"Oh, thank God you didn't!   Oh my god!",2
Jesse,"I mean, thank God I didn't, and you didn't! I mean, if one of us had showed up there alone, then that would have sucked.",2
Céline,"I know! I know! I know! I was so concerned with that. I always felt horrible about not being there, but I couldn't! You know, my grandma died a few days before, and she was buried that day, December 16th, that day!",2
Jesse,"She died, the one in Budapest?",2
Céline,"Yes, you remember that?",2
